Year,Make,Model,Security
1991,Acura,Integra,Information not available
1991,Acura,Legend,Information not available
1991,Acura,NSX,Information not available
1992,Acura,Integra,Information not available
1992,Acura,Legend,Information not available
1992,Acura,NSX,Information not available
1992,Acura,Vigor,Information not available
1993,Acura,Integra,Information not available
1993,Acura,Legend,Information not available
1993,Acura,NSX,Information not available
1993,Acura,Vigor,Information not available
1994,Acura,Integra,Information not available
1994,Acura,Legend,Information not available
1994,Acura,NSX,Information not available
1994,Acura,Vigor,Information not available
1995,Acura,Integra,Information not available
1995,Acura,Legend,Information not available
1995,Acura,NSX,Information not available
1995,Acura,TL,Information not available
1996,Acura,Integra,Information not available
1996,Acura,NSX,Information not available
1996,Acura,SLX (Isuzu),Information not available
1996,Acura,TL,Information not available
1996,Acura,RL,Std
1997,Acura,CL,Information not available
1997,Acura,Integra,Information not available
1997,Acura,NSX,Information not available
1997,Acura,SLX (Isuzu),Information not available
1997,Acura,TL,Information not available
1997,Acura,RL,Std
1998,Acura,Integra,Information not available
1998,Acura,SLX (Isuzu),Information not available
1998,Acura,TL,Information not available
1998,Acura,CL,Std
1998,Acura,NSX,Std
1998,Acura,RL,Std
1999,Acura,Integra,Information not available
1999,Acura,SLX (Isuzu),Information not available
1999,Acura,CL,Std
1999,Acura,NSX,Std
1999,Acura,RL,Std
1999,Acura,TL,Std*
2000,Acura,SLX (Isuzu),Information not available
2000,Acura,Integra,Std
2000,Acura,NSX,Std
2000,Acura,RL,Std
2000,Acura,TL,Std
2001,Acura,CL,Std
2001,Acura,Integra,Std
2001,Acura,MDX,Std
2001,Acura,NSX,Std
2001,Acura,RL,Std
2001,Acura,TL,Std
2002,Acura,CL,Std
2002,Acura,MDX,Std
2002,Acura,NSX,Std
2002,Acura,RL,Std
2002,Acura,RSX,Std
2002,Acura,TL,Std
2003,Acura,CL,Std
2003,Acura,MDX,Std
2003,Acura,NSX,Std
2003,Acura,RL,Std
2003,Acura,RSX,Std
2003,Acura,TL,Std
2004,Acura,MDX,Std
2004,Acura,NSX,Std
2004,Acura,RL,Std
2004,Acura,RSX,Std
2004,Acura,TL,Std
2004,Acura,TSX,Std
2005,Acura,MDX,Std
2005,Acura,NSX,Std
2005,Acura,RL,Std
2005,Acura,RSX,Std
2005,Acura,TL,Std
2005,Acura,TSX,Std
2006,Acura,MDX,Std
2006,Acura,RL,Std
2006,Acura,RSX,Std
2006,Acura,TL,Std
2006,Acura,TSX,Std
2007,Acura,MDX,Std
2007,Acura,RDX,Std
2007,Acura,RL,Std
2007,Acura,TL,Std
2007,Acura,TSX,Std
2008,Acura,MDX,Std
2008,Acura,RDX,Std
2008,Acura,RL,Std
2008,Acura,TL,Std
2008,Acura,TSX,Std
2009,Acura,MDX,Std
2009,Acura,RDX,Std
2009,Acura,RL,Std
2009,Acura,TL,Std
2009,Acura,TSX,Std
2010,Acura,MDX,Std
2010,Acura,RDX,Std
2010,Acura,RL,Std
2010,Acura,TL,Std
2010,Acura,TSX,Std
2010,Acura,ZDX,Std
2011,Acura,MDX,Std
2011,Acura,RDX,Std
2011,Acura,RL,Std
2011,Acura,TL,Std
2011,Acura,TSX,Std
2011,Acura,ZDX,Std
2012,Acura,NV,"Opt with Power package, SV Std"
2012,Acura,MDX,Std
2012,Acura,RDX,Std
2012,Acura,RL,Std
2012,Acura,TL,Std
2012,Acura,TSX,Std
2012,Acura,ZDX,Std
2013,Acura,NV,"S=Opt with Power package, SV Std NV200 Std"
2013,Acura,ILX,Std
2013,Acura,MDX,Std
2013,Acura,RDX,Std
2013,Acura,RL,Std
2013,Acura,TL,Std
2013,Acura,TSX,Std
2013,Acura,ZDX,Std
