Year,Make,Model,Security
2000,Audi,A8,Gen III
2000,Audi,S8,Gen III
2000,Audi,A4 (all models),Information not available
2000,Audi,A6 (all models),Information not available
2000,Audi,S6 (all models),Information not available
2000,Audi,S4,Information not available
2000,Audi,TT,Information not available
2001,Audi,A4 (all models),Gen III
2001,Audi,A6 (all models),Gen III
2001,Audi,S6 (all models),Gen III
2001,Audi,A8,Gen III
2001,Audi,S8,Gen III
2001,Audi,Allroad,Gen III
2001,Audi,S4,Gen III
2001,Audi,TT,Gen III
2002,Audi,A4 (all models),Gen III
2002,Audi,A6 (all models),Gen III
2002,Audi,S6 (all models),Gen III
2002,Audi,A8,Gen III
2002,Audi,S8,Gen III
2002,Audi,Allroad,Gen III
2002,Audi,S4,Gen III
2002,Audi,TT,Gen III
2003,Audi,A4 (all models),Gen III
2003,Audi,A6 (all models),Gen III
2003,Audi,S6 (all models),Gen III
2003,Audi,A8,Gen III
2003,Audi,S8,Gen III
2003,Audi,Allroad,Gen III
2003,Audi,S4,Gen III
2003,Audi,TT,Gen III
2004,Audi,A4 (all models),Gen III
2004,Audi,A6 (all models),Gen III
2004,Audi,S6 (all models),Gen III
2004,Audi,Allroad,Gen III
2004,Audi,S4,Gen III
2004,Audi,TT,Gen III
2004,Audi,A8,Gen IV
2004,Audi,S8,Gen IV
2005,Audi,Allroad,Gen III
2005,Audi,TT,Gen III
2005,Audi,A4 (all models),Gen IV
2005,Audi,A6 (all models),Gen IV
2005,Audi,S6 (all models),Gen IV
2005,Audi,A8,Gen IV
2005,Audi,S8,Gen IV
2005,Audi,S4,Gen IV
2006,Audi,TT,Gen III
2006,Audi,A3,Gen IV
2006,Audi,A4 (all models),Gen IV
2006,Audi,A6 (all models),Gen IV
2006,Audi,S6 (all models),Gen IV
2006,Audi,A8,Gen IV
2006,Audi,S8,Gen IV
2006,Audi,Q7,Gen IV
2006,Audi,S4,Gen IV
2007,Audi,A3,Gen IV
2007,Audi,A4 (all models),Gen IV
2007,Audi,A6 (all models),Gen IV
2007,Audi,S6 (all models),Gen IV
2007,Audi,A8,Gen IV
2007,Audi,S8,Gen IV
2007,Audi,Q7,Gen IV
2007,Audi,RS4,Gen IV
2007,Audi,S4,Gen IV
2008,Audi,S4,Gen IIIA
2008,Audi,A3,Gen IV
2008,Audi,A4 (all models),Gen IV
2008,Audi,A6 (all models),Gen IV
2008,Audi,S6 (all models),Gen IV
2008,Audi,A8,Gen IV
2008,Audi,S8,Gen IV
2008,Audi,Q7,Gen IV
2008,Audi,R8,Gen IV
2008,Audi,RS4,Gen IV
2008,Audi,TT,Gen IV
2008,Audi,A5,Gen V
2009,Audi,A3,Gen IV
2009,Audi,A6 (all models),Gen IV
2009,Audi,S6 (all models),Gen IV
2009,Audi,A8,Gen IV
2009,Audi,S8,Gen IV
2009,Audi,Q7,Gen IV
2009,Audi,R8,Gen IV
2009,Audi,TT,Gen IV
2009,Audi,A4 (all models),Gen V
2009,Audi,A5,Gen V
2009,Audi,S4,Gen V
2010,Audi,A3,Gen IV
2010,Audi,A6 (all models),Gen IV
2010,Audi,S6 (all models),Gen IV
2010,Audi,A8,Gen IV
2010,Audi,S8,Gen IV
2010,Audi,Q7,Gen IV
2010,Audi,R8,Gen IV
2010,Audi,TT,Gen IV
2010,Audi,A4 (all models),Gen V
2010,Audi,A5,Gen V
2010,Audi,Q5,Gen V
2010,Audi,S4,Gen V
2011,Audi,A3,Gen IV
2011,Audi,A6 (all models),Gen IV
2011,Audi,S6 (all models),Gen IV
2011,Audi,Q7,Gen IV
2011,Audi,R8,Gen IV
2011,Audi,TT,Gen IV
2011,Audi,A4 (all models),Gen V
2011,Audi,A5,Gen V
2011,Audi,A8,Gen V
2011,Audi,S8,Gen V
2011,Audi,Q5,Gen V
2011,Audi,S4,Gen V
2012,Audi,A3,Gen IV
2012,Audi,Q7,Gen IV
2012,Audi,R8,Gen IV
2012,Audi,TT,Gen IV
2012,Audi,A4 (all models),Gen V
2012,Audi,A5,Gen V
2012,Audi,A6 (all models),Gen V
2012,Audi,S6 (all models),Gen V
2012,Audi,A7,Gen V
2012,Audi,A8,Gen V
2012,Audi,S8,Gen V
2012,Audi,Allroad,Gen V
2012,Audi,Q5,Gen V
2012,Audi,S4,Gen V
2013,Audi,A4 (all models),Gen V
