,Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
130,1998,GMC,Jimmy,PL2,U41,No
131,1998,GMC,Safari,PL2,Information not available,No
132,1998,GMC,Savana,PL2,U34-588,No
133,1998,GMC,Sierra,PL2,U34-588,No
134,1998,GMC,Sonoma,PL2,U44B,No
135,1998,GMC,Suburban,PL2,Information not available,No
136,1998,GMC,Yukon Denali,PL2,Information not available,No
142,1999,GMC,Jimmy,PL2,U41,No
143,1999,GMC,Safari,PL2,Information not available,No
144,1999,GMC,Savana,PL2,U41,No
145,1999,GMC,Sierra,PL2,U41,No
146,1999,GMC,Sonoma,PL2,U44B,No
147,1999,GMC,Suburban,PL2,U41,No
148,1999,GMC,Yukon Denali,PL2,Information not available,No
158,2000,GMC,Jimmy,PL2,Information not available,No
159,2000,GMC,Safari,PL2,Information not available,No
160,2000,GMC,Savana,PL2,U34-588,No
161,2000,GMC,Sierra,PL2,U41,No
162,2000,GMC,Sonoma,PL2,U44B,No
163,2000,GMC,Yukon XL,PL2,U44R,No
164,2000,GMC,Yukon Denali,PL2,Information not available,No
176,2001,GMC,Jimmy,PL2,U44R,No
177,2001,GMC,Safari,PL2,U44R,No
178,2001,GMC,Savana,PL2,U44R,No
179,2001,GMC,Sierra,PL2,U44R,No
180,2001,GMC,Sonoma,PL2,U44R,No
181,2001,GMC,Yukon XL,PL2,U44R,No
182,2001,GMC,Yukon Denali,PL2,U44R,No
199,2002,GMC,Envoy,PL2,P10,No
200,2002,GMC,Jimmy,PL2,Information not available,No
201,2002,GMC,Safari,PL2,Information not available,No
202,2002,GMC,Savana,PL2,U44R,No
203,2002,GMC,Sierra,PL2,U44R,No
204,2002,GMC,Sonoma,PL2,U44B,No
205,2002,GMC,Yukon XL,PL2,U44R,No
206,2002,GMC,Yukon Denali,PL2,U44R,No
227,2003,GMC,Envoy,PL2,U44G-G03,No
228,2003,GMC,Jimmy,PL2,Information not available,No
229,2003,GMC,Safari,PL2,U44G-G03,No
230,2003,GMC,Savana,PL2,U44G-G03,No
231,2003,GMC,Sierra,PL2,U44G-G03,No
232,2003,GMC,Sonoma,PL2,U44G-G03,No
233,2003,GMC,Yukon XL,PL2,U44G-G03,No
234,2003,GMC,Yukon Denali,PL2,U44G-G03,No
261,2004,GMC,Envoy,PL2,U44G-G45,No
262,2004,GMC,Envoy XUV,PL2,Information not available,No
263,2004,GMC,Jimmy,PL2,U44G-G45,No
264,2004,GMC,Safari,PL2,U44G-G45,No
265,2004,GMC,Savana,PL2,U44G-G45,No
266,2004,GMC,Sierra,PL2,U44G-G45,No
267,2004,GMC,Sonoma,PL2,Information not available,No
268,2004,GMC,Yukon XL,PL2,U44G-G45,No
269,2004,GMC,Yukon Denali,PL2,U44G-G45,No
270,2004,GMC,Canyon,PL3,Information not available,No
304,2005,GMC,Envoy,PL2,E40-883,No
305,2005,GMC,Envoy XUV,PL2,Information not available,No
306,2005,GMC,Jimmy,PL2,U44G-G45,No
307,2005,GMC,Safari,PL2,U44G-G45,No
308,2005,GMC,Savana,PL2,U44G-G45,No
309,2005,GMC,Sierra,PL2,U44G-G45,No
310,2005,GMC,Sonoma,PL2,Information not available,No
311,2005,GMC,Yukon XL,PL2,U44G-G45,No
312,2005,GMC,Yukon Denali,PL2,U44G-G45,No
313,2005,GMC,Canyon,PL3,P12-N64,No
349,2006,GMC,Envoy,PL2,E40-679,No
350,2006,GMC,Envoy XUV,PL2,Information not available,No
351,2006,GMC,Savana,PL2,U44G-G45,No
352,2006,GMC,Sierra,PL2,U44G-G45,No
353,2006,GMC,Sonoma,PL2,Information not available,No
354,2006,GMC,Yukon XL,PL2,U44G-G45,No
355,2006,GMC,Yukon/Denali,PL2,U44G-G45,No
356,2006,GMC,Canyon,PL3,P12-N64,No
396,2007,GMC,Acadia,PK3,E67-TP1,No
397,2007,GMC,Yukon XL,PK3,E38-Y2Y,Yes
398,2007,GMC,Yukon Denali,PK3,E38-Y2Y,Yes
399,2007,GMC,Envoy,PL2,E67-TP1,No
400,2007,GMC,Savana,PL2,U44G-G45,No
401,2007,GMC,Sierra,PL2,U44G-G45,No
402,2007,GMC,Canyon,PL3,P12-N77,No
445,2008,GMC,Acadia,PK3,E67-TP1,No
446,2008,GMC,Savana,PK3,E35-LMM,Yes
447,2008,GMC,Sierra,PK3,E35-LMM,Yes
448,2008,GMC,Yukon XL,PK3,Information not available,No
449,2008,GMC,Yukon Denali,PK3,E38-Y2Y,Yes
450,2008,GMC,Envoy,PL2,E67-TP1,No
451,2008,GMC,Canyon,PL3,E67-TP1,No
495,2009,GMC,Acadia,PK3,E69-216,Yes
496,2009,GMC,Savana,PK3,Information not available,No
497,2009,GMC,Sierra,PK3,E35-LMM,Yes
498,2009,GMC,Terrain,PK3,Information not available,No
499,2009,GMC,Yukon XL,PK3,Information not available,No
500,2009,GMC,Yukon Denali,PK3,E38-Y2Y,Yes
501,2009,GMC,Envoy,PL2,Information not available,No
502,2009,GMC,Canyon,PL3,Information not available,No
544,2010,GMC,Acadia,PK3,Information not available,No
545,2010,GMC,Savana,PK3,E86-A24,No
546,2010,GMC,Sierra,PK3,E38-AK8,Yes
547,2010,GMC,Yukon XL,PK3,Information not available,No
548,2010,GMC,Yukon Denali,PK3,Information not available,No
549,2010,GMC,Terrain,PK3,E39-F93S,Yes
550,2010,GMC,Canyon,PL3,E67-TP1,No
588,2011,GMC,Acadia,PK3,E69-216,Yes
589,2011,GMC,Savana,PK3,Information not available,No
590,2011,GMC,Sierra,PK3,E37,Yes
591,2011,GMC,Yukon XL,PK3,Information not available,No
592,2011,GMC,Yukon Denali,PK3,E38-AK8,Yes
593,2011,GMC,Terrain,PK3,E39-F93S,Yes
594,2011,GMC,Canyon,PL3,E67-TP1,No
621,2012,GMC,Acadia,PK3,E39-X94S,Yes
622,2012,GMC,Savana,PK3,Information not available,No
623,2012,GMC,Sierra,PK3,E37,Yes
624,2012,GMC,Yukon XL,PK3,Information not available,No
625,2012,GMC,Yukon Denali,PK3,Information not available,No
626,2012,GMC,Terrain,PK3,E39-X94S,Yes
627,2012,GMC,Canyon,PL3,E67-TP1,No
656,2013,GMC,Acadia,PK3,E39A-H98S,Yes
657,2013,GMC,Savana,PK3,E38-AK8,Yes
658,2013,GMC,Sierra,PK3,E86-A24,No
659,2013,GMC,Yukon XL,PK3,Information not available,No
660,2013,GMC,Yukon Denali,PK3,E38-AK8,Yes
661,2013,GMC,Terrain,PK3,E39A-H98S,Yes
