,Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
0,1986,Chevrolet,Corvette,VATS,Information not available,No
1,1987,Chevrolet,Corvette,VATS,Information not available,No
2,1988,Chevrolet,Corvette,VATS,Information not available,No
3,1988,Pontiac,Firebird,GTA only,Information not available,No
4,1989,Cadillac,Allante,PK1,Information not available,No
5,1989,Cadillac,Eldorado,PK1,Information not available,No
6,1989,Cadillac,Seville,PK1,Information not available,No
7,1989,Chevrolet,Camaro,PK1,Information not available,No
8,1989,Chevrolet,Corvette,VATS,Information not available,No
9,1989,Pontiac,Firebird,PK1,Information not available,No
10,1990,Buick,Reatta,PK1,Information not available,No
11,1990,Buick,Riviera,PK1,Information not available,No
12,1990,Cadillac,Allante,PK1,Information not available,No
13,1990,Cadillac,Deville,PK1,Information not available,No
14,1990,Cadillac,Eldorado,PK1,Information not available,No
15,1990,Cadillac,Seville,PK1,Information not available,No
16,1990,Chevrolet,Camaro,PK1,Information not available,No
17,1990,Chevrolet,Corvette,PK1,Information not available,No
18,1990,Oldsmobile,Toronado,PK1,Information not available,No
19,1990,Pontiac,Firebird,PK1,Information not available,No
20,1991,Buick,Park Avenue,PK1,Information not available,No
21,1991,Buick,Reatta,PK1,Information not available,No
22,1991,Buick,Riviera,PK1,Information not available,No
23,1991,Cadillac,Allante,PK1,Information not available,No
24,1991,Cadillac,Deville,PK1,Information not available,No
25,1991,Cadillac,Eldorado,PK1,Information not available,No
26,1991,Cadillac,Seville,PK1,Information not available,No
27,1991,Chevrolet,Camaro,PK1,Information not available,No
28,1991,Chevrolet,Corvette,PK1,Information not available,No
29,1991,Oldsmobile,Ninety-Eight,PK1,Information not available,No
30,1991,Oldsmobile,Toronado,PK1,Information not available,No
31,1991,Pontiac,Firebird,PK1,Information not available,No
32,1992,Buick,Reatta,PK1,Information not available,No
33,1992,Buick,Riviera,PK1,Information not available,No
34,1992,Buick,LeSabre,PK2,Information not available,No
35,1992,Buick,Park Avenue,PK2,Information not available,No
36,1992,Cadillac,Allante,PK1,Information not available,No
37,1992,Cadillac,Brougham,PK1,Information not available,No
38,1992,Cadillac,Deville,PK1,Information not available,No
39,1992,Cadillac,Eldorado,PK1,Information not available,No
40,1992,Cadillac,Seville,PK1,Information not available,No
41,1992,Chevrolet,Camaro,PK1,Information not available,No
42,1992,Chevrolet,Corvette,PK1,Information not available,No
43,1992,Oldsmobile,Toronado,PK1,Information not available,No
44,1992,Oldsmobile,Eighty-Eight,PK2,Information not available,No
45,1992,Oldsmobile,Ninety-Eight,PK2,Information not available,No
46,1992,Pontiac,Firebird,PK1,Information not available,No
47,1992,Pontiac,Bonneville,PK2,Information not available,No
48,1993,Buick,Riviera,PK1,Information not available,No
49,1993,Buick,LeSabre,PK2,Information not available,No
50,1993,Buick,Park Avenue,PK2,Information not available,No
51,1993,Cadillac,Allante,PK1,Information not available,No
52,1993,Cadillac,Brougham,PK1,Information not available,No
53,1993,Cadillac,Deville,PK1,Information not available,No
54,1993,Cadillac,Eldorado,PK1,Information not available,No
55,1993,Cadillac,Seville,PK1,Information not available,No
56,1993,Chevrolet,Corvette,PK1,Information not available,No
57,1993,Chevrolet,Camaro,PK2,Information not available,No
58,1993,Oldsmobile,Toronado,PK1,Information not available,No
59,1993,Oldsmobile,Eighty-Eight,PK2,Information not available,No
60,1993,Oldsmobile,Ninety-Eight,PK2,Information not available,No
61,1993,Pontiac,Bonneville,PK2,Information not available,No
