Year,Make,Model,Security,Dodge Security System Addiotional Info
1997,Dodge,Caravan,Information not available,Information not available
1997,Dodge,Dakota,Information not available,Information not available
1997,Dodge,Neon,Information not available,Information not available
1997,Dodge,Ram Van,Information not available,Information not available
1997,Dodge,Stratus sedan,Information not available,Information not available
1997,Dodge,Viper,Information not available,Information not available
1998,Dodge,Avenger,Information not available,Information not available
1998,Dodge,Caravan,Information not available,Information not available
1998,Dodge,Dakota,Information not available,Information not available
1998,Dodge,Durango,Information not available,Information not available
1998,Dodge,Intrepid,Information not available,Information not available
1998,Dodge,Magnum,Information not available,Information not available
1998,Dodge,Neon,Information not available,Information not available
1998,Dodge,Ram Van,Information not available,Information not available
1998,Dodge,Stratus sedan,Information not available,Information not available
1998,Dodge,Viper,Information not available,Information not available
1999,Dodge,Avenger,Information not available,Information not available
1999,Dodge,Caravan,Information not available,Information not available
1999,Dodge,Dakota,Information not available,Information not available
1999,Dodge,Durango,Information not available,Information not available
1999,Dodge,Magnum,Information not available,Information not available
1999,Dodge,Neon,Information not available,Information not available
1999,Dodge,Ram Van,Information not available,Information not available
1999,Dodge,Viper,Information not available,Information not available
1999,Dodge,Intrepid,Opt,Information not available
1999,Dodge,Stratus sedan,Opt,Information not available
2000,Dodge,Avenger,Information not available,Information not available
2000,Dodge,Caravan,Information not available,Information not available
2000,Dodge,Dakota,Information not available,Information not available
2000,Dodge,Durango,Information not available,Information not available
2000,Dodge,Magnum,Information not available,Information not available
2000,Dodge,Ram Van,Information not available,Information not available
2000,Dodge,Viper,Information not available,Information not available
2000,Dodge,Intrepid,Opt,Information not available
2000,Dodge,Neon,Opt,Information not available
2000,Dodge,Stratus sedan,Opt,Information not available
2001,Dodge,Magnum,Information not available,Information not available
2001,Dodge,Ram Van,Information not available,Information not available
2001,Dodge,Viper,Information not available,Information not available
2001,Dodge,Caravan,Opt,Information not available
2001,Dodge,Dakota,Opt,Information not available
2001,Dodge,Durango,Opt,Information not available
2001,Dodge,Neon,Opt,Information not available
2001,Dodge,Stratus sedan,Opt,Information not available
2001,Dodge,Intrepid,Opt (Std in Canada),Information not available
2001,Dodge,Stratus coupe,Std,Information not available
2002,Dodge,Caravan,Information not available,Information not available
2002,Dodge,Dakota,Information not available,Information not available
2002,Dodge,Magnum,Information not available,Information not available
2002,Dodge,Ram Van,Information not available,Information not available
2002,Dodge,Viper,Information not available,Information not available
2002,Dodge,Durango,Opt,Information not available
2002,Dodge,Neon,Opt,Information not available
2002,Dodge,Ram,Opt,Information not available
2002,Dodge,Stratus sedan,Opt,Information not available
2002,Dodge,Intrepid,Opt (Std in Canada),Information not available
2002,Dodge,Stratus coupe,Std,Information not available
2003,Dodge,Caravan,Information not available,Information not available
2003,Dodge,Magnum,Information not available,Information not available
2003,Dodge,Ram Van,Information not available,Information not available
2003,Dodge,Viper,Information not available,Information not available
2003,Dodge,Dakota,Opt,Information not available
2003,Dodge,Durango,Opt,Information not available
2003,Dodge,Ram,Opt,Information not available
2003,Dodge,Sprinter,Opt,Information not available
2003,Dodge,Stratus sedan,Opt,Information not available
2003,Dodge,Intrepid,Opt (Std in Canada),Information not available
2003,Dodge,Neon,Std,Information not available
2003,Dodge,Stratus coupe,Std,Information not available
2004,Dodge,Magnum,Information not available,Information not available
2004,Dodge,Viper,Information not available,Information not available
2004,Dodge,Caravan,Opt,Information not available
2004,Dodge,Dakota,Opt,Information not available
2004,Dodge,Durango,Opt,Information not available
2004,Dodge,Ram,Opt,Information not available
2004,Dodge,Sprinter,Opt,Information not available
2004,Dodge,Intrepid,Opt (Std in Canada),Information not available
2004,Dodge,Neon,Std,Information not available
2004,Dodge,Stratus coupe,Std,Information not available
2004,Dodge,Stratus sedan,Std (Except Base),Information not available
2005,Dodge,Magnum,Std,Information not available
2007,Dodge,Caravan,Opt,Information not available
2007,Dodge,Dakota,Opt,Information not available
2007,Dodge,Durango,Opt,Information not available
2007,Dodge,Ram 3500,Opt,Information not available
2007,Dodge,Ram 4500,Opt,Information not available
2007,Dodge,Ram 5500,Opt,Information not available
2007,Dodge,Avenger Sedan,Std,Information not available
2007,Dodge,Charger,Std,Information not available
2007,Dodge,Magnum,Std,Information not available
2007,Dodge,Nitro,Std,Information not available
2007,Dodge,Ram 1500,Std,Information not available
2007,Dodge,Ram 2500,Std,Information not available
2007,Dodge,Sprinter,Std,Information not available
2007,Dodge,Caliber,Std w/o  power windows & power locks,Sentry Key Immobilizer System = Standard equipment
2007,Dodge,Caliber,Std with power windows & power locks,"“SKREES” Sentry Key Remote Entry System (same as SKIS, the key remote entry module was combined with the Sentry Key Immobilizer Module, it’s still Sentry Key)"
2008,Dodge,Dakota,Opt,Information not available
2008,Dodge,Ram 4500,Opt,Information not available
2008,Dodge,Ram 5500,Opt,Information not available
2008,Dodge,Avenger,Std,Information not available
2008,Dodge,Avenger Sedan,Std,Information not available
2008,Dodge,Caravan,Std,Information not available
2008,Dodge,Challenger,Std,Information not available
2008,Dodge,Charger,Std,Information not available
2008,Dodge,Durango,Std,Information not available
2008,Dodge,Magnum,Std,Information not available
2008,Dodge,Nitro,Std,Information not available
2008,Dodge,Ram 1500,Std,Information not available
2008,Dodge,Ram 2500,Std,Information not available
2008,Dodge,Ram 3500,Std,Information not available
2008,Dodge,Sprinter,Std,Information not available
2008,Dodge,Viper,Std,Information not available
2008,Dodge,Caliber,Std w/o power windows & power locks,Sentry Key Immobilizer System = Standard equipment
