Year,Make,Model,Anti-Theft Module Location,PATS Type,ParameterReset
1996,Ford,Mustang,Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1996,Ford,Taurus (Duratec & SHO only),Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1997,Ford,Expedition,Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1997,Ford,Mustang,Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1997,Ford,Taurus (Duratec & SHO only),Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1998,Ford,Crown Victoria,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Ford,Expedition,Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1998,Ford,Explorer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Ford,Explorer Sport (2dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Ford,Mustang,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Ford,Taurus (Duratec & SHO only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Ford,Contour (V6-only),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
1999,Ford,Crown Victoria,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Ford,Explorer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Ford,Explorer Sport (2dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Ford,F-250 (under 8500# GVW),Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Ford,Ranger (3.0L & 4.0L only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Ford,Taurus (Duratec & SHO only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Ford,Windstar,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Ford,Contour (V6-only),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Ford,Crown Victoria,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Ford,Excursion,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Ford,Explorer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Ford,Explorer Sport (2dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Ford,F-250 (under 8500# GVW),Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Ford,Focus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Ford,Mustang,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Ford,Ranger (3.0L & 4.0L only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Ford,Taurus,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Ford,Windstar,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Ford,Crown Victoria,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Ford,Escape,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Ford,Excursion,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Ford,Expedition,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Ford,Explorer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Ford,F-150 Harley-Davidson,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Ford,F-150 Heritage,Instrument Cluster,PATS Type C ,Parameter Reset Required
