Year,Make,Model,Security
1991,Honda,Accord,Information not available
1991,Honda,Civic,Information not available
1991,Honda,Prelude,Information not available
1992,Honda,Accord,Information not available
1992,Honda,Prelude,Information not available
1992,Honda,Civic,Immobilizer was not available for that model year
1993,Honda,Accord,Information not available
1993,Honda,Civic,Information not available
1993,Honda,Prelude,Information not available
1994,Honda,Civic,Information not available
1994,Honda,Passport (Isuzu),Information not available
1994,Honda,Prelude,Information not available
1994,Honda,Accord,Immobilizer was not available for that model year
1995,Honda,Accord,Information not available
1995,Honda,Civic,Information not available
1995,Honda,Passport (Isuzu),Information not available
1995,Honda,Prelude,Information not available
1996,Honda,Accord,Information not available
1996,Honda,Passport (Isuzu),Information not available
1996,Honda,Prelude,Information not available
1996,Honda,Civic,Immobilizer was not available for that model year
1997,Honda,Accord,Information not available
1997,Honda,Civic,Information not available
1997,Honda,CRV,Information not available
1997,Honda,Odyssey,Information not available
1997,Honda,Passport (Isuzu),Information not available
1997,Honda,Prelude,Std
1998,Honda,Civic,Information not available
1998,Honda,CRV,Information not available
1998,Honda,Passport (Isuzu),Immobilizer was not available for that model year
1998,Honda,Odyssey,Std
1998,Honda,Prelude,Std
1998,Honda,Accord,Std
1999,Honda,Civic,Information not available
1999,Honda,CRV,Information not available
1999,Honda,Passport (Isuzu),Information not available
1999,Honda,Accord,Std
1999,Honda,Prelude,Std
1999,Honda,Odyssey,Std
2000,Honda,Civic,Information not available
2000,Honda,CRV,Information not available
2000,Honda,Passport (Isuzu),Information not available
2000,Honda,Accord,Std
2000,Honda,Insight (Hybrid),Std
2000,Honda,Odyssey,Std
2000,Honda,Prelude,Std
2000,Honda,S2000,Std
2001,Honda,CRV,Information not available
2001,Honda,Passport (Isuzu),Information not available
2001,Honda,Accord,Std
2001,Honda,Insight (Hybrid),Std
2001,Honda,Odyssey,Std
2001,Honda,Prelude,Std
2001,Honda,S2000,Std
2001,Honda,Civic,Std
2002,Honda,Passport (Isuzu),Information not available
2002,Honda,Accord,Std
2002,Honda,Civic,Std
2002,Honda,Insight (Hybrid),Std
2002,Honda,Odyssey,Std
2002,Honda,S2000,Std
2002,Honda,CRV,Std
2003,Honda,Accord,Std
2003,Honda,Civic,Std
2003,Honda,CRV,Std
2003,Honda,Element,Std
2003,Honda,Insight (Hybrid),Std
2003,Honda,Odyssey,Std
2003,Honda,Pilot,Std
2003,Honda,S2000,Std
2004,Honda,Accord,Std
2004,Honda,Civic,Std
2004,Honda,CRV,Std
2004,Honda,Element,Std
2004,Honda,Insight (Hybrid),Std
2004,Honda,Odyssey,Std
2004,Honda,Pilot,Std
2004,Honda,S2000,Std
2005,Honda,Accord,Std
2005,Honda,Civic,Std
2005,Honda,CRV,Std
2005,Honda,Element,Std
2005,Honda,Insight (Hybrid),Std
2005,Honda,Odyssey,Std
2005,Honda,Pilot,Std
2005,Honda,S2000,Std
2006,Honda,Accord,Std
2006,Honda,Civic,Std
2006,Honda,CRV,Std
2006,Honda,Element,Std
2006,Honda,Insight (Hybrid),Std
2006,Honda,Odyssey,Std
2006,Honda,Pilot,Std
2006,Honda,Ridgeline,Std
2006,Honda,S2000,Std
2007,Honda,Accord,Std
2007,Honda,Civic,Std
2007,Honda,CRV,Std
2007,Honda,Element,Std
2007,Honda,Fit,Std
2007,Honda,Odyssey,Std
2007,Honda,Pilot,Std
2007,Honda,Ridgeline,Std
2007,Honda,S2000,Std
2008,Honda,Accord,Std
2008,Honda,Civic,Std
2008,Honda,CRV,Std
2008,Honda,Element,Std
2008,Honda,Fit,Std
2008,Honda,Odyssey,Std
2008,Honda,Pilot,Std
2008,Honda,Ridgeline,Std
2008,Honda,S2000,Std
2009,Honda,Accord,Std
2009,Honda,Civic,Std
2009,Honda,CRV,Std
2009,Honda,Element,Std
2009,Honda,Fit,Std
2009,Honda,Odyssey,Std
2009,Honda,Pilot,Std
2009,Honda,Ridgeline,Std
2009,Honda,S2000,Std
2010,Honda,Accord,Std
2010,Honda,Civic,Std
2010,Honda,Crosstour,Std
2010,Honda,CRV,Std
2010,Honda,Element,Std
2010,Honda,Fit,Std
2010,Honda,Insight (Hybrid),Std
2010,Honda,Odyssey,Std
2010,Honda,Pilot,Std
2010,Honda,Ridgeline,Std
2011,Honda,Accord,Std
2011,Honda,Civic,Std
2011,Honda,CR-Z,Std
2011,Honda,Crosstour,Std
2011,Honda,CRV,Std
2011,Honda,Element,Std
2011,Honda,Fit,Std
2011,Honda,Insight (Hybrid),Std
2011,Honda,Odyssey,Std
2011,Honda,Pilot,Std
2011,Honda,Ridgeline,Std
2012,Honda,Accord,Std
2012,Honda,Civic,Std
2012,Honda,CR-Z,Std
2012,Honda,Crosstour,Std
2012,Honda,CRV,Std
2012,Honda,Fit,Std
2012,Honda,Insight (Hybrid),Std
2012,Honda,Odyssey,Std
2012,Honda,Pilot,Std
2012,Honda,Ridgeline,Std
2013,Honda,Accord,Std
2013,Honda,Civic,Std
2013,Honda,CR-Z,Std
2013,Honda,Crosstour,Std
2013,Honda,CRV,Std
2013,Honda,Fit,Std
2013,Honda,Insight (Hybrid),Std
2013,Honda,Odyssey,Std
2013,Honda,Pilot,Std
2013,Honda,Ridgeline,Std
