,Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
235,2003,Hummer,H2,PL2,U44G-G03,No
271,2004,Hummer,H2,PL2,U36-E22,No
314,2005,Hummer,H2,PL2,U44G-G45,No
315,2005,Hummer,H2 SUT,PL2,Information not available,No
357,2006,Hummer,H2,PL2,U44G-G45,No
358,2006,Hummer,H2 SUT,PL2,Information not available,No
359,2006,Hummer,H3,PL3,P12-N64,No
403,2007,Hummer,H2,PL2,U44G-G45,No
404,2007,Hummer,H2 SUT,PL2,Information not available,No
405,2007,Hummer,H3,PL3,P12-N77,No
452,2008,Hummer,H2,PK3,Information not available,No
453,2008,Hummer,H2 SUT,PK3,Information not available,No
454,2008,Hummer,H3,PL3,E67-TP1,No
503,2009,Hummer,H2,PK3,Information not available,No
504,2009,Hummer,H2 SUT,PK3,Information not available,No
505,2009,Hummer,H3,PL3,Information not available,No
551,2010,Hummer,H2,PK3,Information not available,No
552,2010,Hummer,H2 SUT,PK3,Information not available,No
553,2010,Hummer,H3,PL3,Information not available,No
