Year,Make,Model,Security
1997,Infiniti,I30,Information not available
1997,Infiniti,QX4,Information not available
1997,Infiniti,Q45,Std
1998,Infiniti,I30,Information not available
1998,Infiniti,QX4,Information not available
1998,Infiniti,Q45,Std
1999,Infiniti,I30,Std
1999,Infiniti,Q45,Std
1999,Infiniti,QX4,Std
2000,Infiniti,G20,Std
2000,Infiniti,I30,Std
2000,Infiniti,Q45,Std
2000,Infiniti,QX4,Std
2001,Infiniti,G20,Std
2001,Infiniti,I30,Std
2001,Infiniti,Q45,Std
2001,Infiniti,QX4,Std
2002,Infiniti,G20,Std
2002,Infiniti,I35,Std
2002,Infiniti,Q45,Std
2002,Infiniti,QX4,Std
2003,Infiniti,FX35,Std
2003,Infiniti,FX45,Std
2003,Infiniti,FX50,Std
2003,Infiniti,G35 Coupe,Std
2003,Infiniti,G35 Sedan,Std
2003,Infiniti,I35,Std
2003,Infiniti,QX4,Std
2003,Infiniti,M45,Std – E.K.F.
2003,Infiniti,Q45,Std – E.K.F.
2004,Infiniti,FX35,Std
2004,Infiniti,FX45,Std
2004,Infiniti,FX50,Std
2004,Infiniti,G35 Coupe,Std
2004,Infiniti,G35 Sedan,Std
2004,Infiniti,I35,Std
2004,Infiniti,QX56,Std
2004,Infiniti,M45,Std – E.K.F.
2004,Infiniti,Q45,Std – E.K.F.
2005,Infiniti,Q45,Std – E.K.F.
2005,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2005,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2005,Infiniti,FX35,"Std, I.K.C. Optional"
2005,Infiniti,FX45,"Std, I.K.C. Optional"
2005,Infiniti,FX50,"Std, I.K.C. Optional"
2005,Infiniti,G35 Coupe,"Std, I.K.C. Optional"
2005,Infiniti,G35 Sedan,"Std, I.K.C. Optional"
2005,Infiniti,QX56,"Std, I.K.C. Optional"
2006,Infiniti,Q45,Std – E.K.F.
2006,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2006,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2006,Infiniti,FX35,"Std, I.K.C. Optional"
2006,Infiniti,FX45,"Std, I.K.C. Optional"
2006,Infiniti,FX50,"Std, I.K.C. Optional"
2006,Infiniti,G35 Coupe,"Std, I.K.C. Optional"
2006,Infiniti,G35 Sedan,"Std, I.K.C. Optional"
2006,Infiniti,QX56,"Std, I.K.C. Optional"
2007,Infiniti,Q45,Std – E.K.F.
2007,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2007,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2007,Infiniti,FX35,"Std, I.K.C. Optional"
2007,Infiniti,FX45,"Std, I.K.C. Optional"
2007,Infiniti,FX50,"Std, I.K.C. Optional"
2007,Infiniti,G35 Coupe,"Std, I.K.C. Optional"
2007,Infiniti,G35 Sedan,"Std, I.K.C. Optional"
2007,Infiniti,QX56,"Std, I.K.C. Optional"
2008,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2008,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2008,Infiniti,FX35,"Std, I.K.C. Optional"
2008,Infiniti,FX45,"Std, I.K.C. Optional"
2008,Infiniti,FX50,"Std, I.K.C. Optional"
2008,Infiniti,G35 Sedan,"Std, I.K.C. Optional"
2008,Infiniti,G37,"Std, I.K.C. Optional"
2008,Infiniti,Coupe,"Std, I.K.C. Optional"
2008,Infiniti,Sedan,"Std, I.K.C. Optional"
2008,Infiniti,QX56,"Std, I.K.C. Optional"
2009,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2009,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2009,Infiniti,EX,"Std, I.K.C. Optional"
2009,Infiniti,FX35,"Std, I.K.C. Optional"
2009,Infiniti,FX45,"Std, I.K.C. Optional"
2009,Infiniti,FX50,"Std, I.K.C. Optional"
2009,Infiniti,G37,"Std, I.K.C. Optional"
2009,Infiniti,Coupe,"Std, I.K.C. Optional"
2009,Infiniti,Sedan,"Std, I.K.C. Optional"
2009,Infiniti,QX56,"Std, I.K.C. Optional"
2010,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2010,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2010,Infiniti,EX,"Std, I.K.C. Optional"
2010,Infiniti,FX35,"Std, I.K.C. Optional"
2010,Infiniti,FX45,"Std, I.K.C. Optional"
2010,Infiniti,FX50,"Std, I.K.C. Optional"
2010,Infiniti,G37,"Std, I.K.C. Optional"
2010,Infiniti,Coupe,"Std, I.K.C. Optional"
2010,Infiniti,Sedan,"Std, I.K.C. Optional"
2010,Infiniti,QX56,"Std, I.K.C. Optional"
2011,Infiniti,M45,"Std – E.K.F., ""I.K.C. Optional"""
2011,Infiniti,M35,"Std – E.K.F., ""I.K.C. Optional"""
2011,Infiniti,EX,"Std, I.K.C. Optional"
2011,Infiniti,FX35,"Std, I.K.C. Optional"
2011,Infiniti,FX45,"Std, I.K.C. Optional"
2011,Infiniti,FX50,"Std, I.K.C. Optional"
2011,Infiniti,G25 Sedan,"Std, I.K.C. Optional"
2011,Infiniti,G37,"Std, I.K.C. Optional"
2011,Infiniti,Coupe,"Std, I.K.C. Optional"
2011,Infiniti,Sedan,"Std, I.K.C. Optional"
2011,Infiniti,M37,"Std, I.K.C. Optional"
2011,Infiniti,M56,"Std, I.K.C. Optional"
2011,Infiniti,QX56,"Std, I.K.C. Optional"
2012,Infiniti,EX,"Std, I.K.C. Optional"
2012,Infiniti,FX35,"Std, I.K.C. Optional"
2012,Infiniti,FX45,"Std, I.K.C. Optional"
2012,Infiniti,FX50,"Std, I.K.C. Optional"
2012,Infiniti,G25 Sedan,"Std, I.K.C. Optional"
2012,Infiniti,G37,"Std, I.K.C. Optional"
2012,Infiniti,Coupe,"Std, I.K.C. Optional"
2012,Infiniti,Sedan,"Std, I.K.C. Optional"
2012,Infiniti,M37,"Std, I.K.C. Optional"
2012,Infiniti,M56,"Std, I.K.C. Optional"
2012,Infiniti,QX56,"Std, I.K.C. Optional"
2013,Infiniti,EX,"Std, I.K.C. Optional"
2013,Infiniti,FX35,"Std, I.K.C. Optional"
2013,Infiniti,FX45,"Std, I.K.C. Optional"
2013,Infiniti,FX50,"Std, I.K.C. Optional"
2013,Infiniti,G37,"Std, I.K.C. Optional"
2013,Infiniti,Coupe,"Std, I.K.C. Optional"
2013,Infiniti,Sedan,"Std, I.K.C. Optional"
2013,Infiniti,JX,"Std, I.K.C. Optional"
2013,Infiniti,M37,"Std, I.K.C. Optional"
2013,Infiniti,M56,"Std, I.K.C. Optional"
2013,Infiniti,QX56,"Std, I.K.C. Optional"
