Year,Make,Model,Security,Jaguar Security System Additional Information
1997,Jaguar,S TYPE (All),Information not available,Information not available
1997,Jaguar,XJ8,Information not available,Information not available
1997,Jaguar,XK8,Information not available,Information not available
1998,Jaguar,S TYPE (All),Information not available,Information not available
1998,Jaguar,XJ8,Std,Std = Standard Equipment
1998,Jaguar,XK8,Std,Std = Standard Equipment
2000,Jaguar,X TYPE,Information not available,Information not available
2000,Jaguar,S TYPE (All),Std,Std = Standard Equipment
2000,Jaguar,XJ8,Std,Std = Standard Equipment
2000,Jaguar,XK8,Std,Std = Standard Equipment
2001,Jaguar,S TYPE (All),Std,Std = Standard Equipment
2001,Jaguar,X TYPE,Std,Information not available
2001,Jaguar,XJ8,Std,Std = Standard Equipment
2001,Jaguar,XK8,Std,Std = Standard Equipment
2002,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2002,Jaguar,X TYPE,Std,Indicates encryption technology was used
2002,Jaguar,XJ8,Std,Indicates encryption technology was used
2002,Jaguar,XK8,Std,Indicates encryption technology was used
2002,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2003,Jaguar,XJ,Information not available,Information not available
2003,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2003,Jaguar,X TYPE,Std,Indicates encryption technology was used
2003,Jaguar,XJ8,Std,Indicates encryption technology was used
2003,Jaguar,XK8,Std,Indicates encryption technology was used
2003,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2004,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2004,Jaguar,X TYPE,Std,Indicates encryption technology was used
2004,Jaguar,XJ,Std,Indicates encryption technology was used
2004,Jaguar,XK8,Std,Indicates encryption technology was used
2004,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2005,Jaguar,S TYPE (All),Std,Information not available
2005,Jaguar,X TYPE,Std,Information not available
2005,Jaguar,XJ,Std,Information not available
2005,Jaguar,XK8,Std,Information not available
2005,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2006,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2006,Jaguar,X TYPE,Std,Indicates encryption technology was used
2006,Jaguar,XJ,Std,Indicates encryption technology was used
2006,Jaguar,XK,Std,Indicates encryption technology was used
2006,Jaguar,XK8,Std,Indicates encryption technology was used
2006,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2007,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2007,Jaguar,X TYPE,Std,Indicates encryption technology was used
2007,Jaguar,XJ,Std,Indicates encryption technology was used
2007,Jaguar,XK,Std,Indicates encryption technology was used
2007,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2008,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2008,Jaguar,X TYPE,Std,Indicates encryption technology was used
2008,Jaguar,XF,Std,Indicates encryption technology was used
2008,Jaguar,XJ,Std,Indicates encryption technology was used
2008,Jaguar,XK,Std,Indicates encryption technology was used
2008,Jaguar,S-Type,Std on all,Indicates encryption technology was used
2009,Jaguar,S-Type,No longer FNA,Information not available
2009,Jaguar,S TYPE (All),Std,Indicates encryption technology was used
2009,Jaguar,X TYPE,Std,Indicates encryption technology was used
2009,Jaguar,XF,Std,Indicates encryption technology was used
2009,Jaguar,XJ,Std,Indicates encryption technology was used
2009,Jaguar,XK,Std,Indicates encryption technology was used
2010,Jaguar,S-Type,No longer FNA,Information not available
2010,Jaguar,XF,Std,Indicates encryption technology was used
2010,Jaguar,XJ,Std,Indicates encryption technology was used
2010,Jaguar,XK,Std,Indicates encryption technology was used
2011,Jaguar,S-Type,No longer FNA,Information not available
2012,Jaguar,S-Type,No longer FNA,Information not available
2012,Jaguar,XF,Std,Indicates encryption technology was used
2012,Jaguar,XJ,Std,Indicates encryption technology was used
2012,Jaguar,XK,Std,Indicates encryption technology was used
2013,Jaguar,S-Type,No longer FNA,Information not available
2013,Jaguar,XF,Std,Indicates encryption technology was used
2013,Jaguar,XJ,Std,Indicates encryption technology was used
2013,Jaguar,XK,Std,Indicates encryption technology was used
