Year,Make,Model,Security
2002,Land Rover,Freelander,Std
2003,Land Rover,Discovery,Std
2003,Land Rover,Freelander,Std
2003,Land Rover,Range Rover,Std
2004,Land Rover,Discovery,Std
2004,Land Rover,Freelander,Std
2004,Land Rover,Range Rover,Std
2005,Land Rover,Freelander,Std
2005,Land Rover,LR3,Std
2005,Land Rover,Range Rover,Std
2006,Land Rover,Freelander,Std
2006,Land Rover,LR3,Std
2006,Land Rover,Range Rover,Std
2006,Land Rover,Range Rover Sport,Std
2007,Land Rover,Freelander,Std
2007,Land Rover,LR2,Std
2007,Land Rover,LR3,Std
2007,Land Rover,Range Rover,Std
2007,Land Rover,Range Rover Sport,Std
2008,Land Rover,LR2,Std
2008,Land Rover,LR3,Std
2008,Land Rover,Range Rover,Std
2008,Land Rover,Range Rover Sport,Std
2009,Land Rover,LR2,Std
2009,Land Rover,LR3,Std
2009,Land Rover,Range Rover,Std
2009,Land Rover,Range Rover Sport,Std
2010,Land Rover,LR2,Std
2010,Land Rover,LR4,Std
2010,Land Rover,Range Rover,Std
2010,Land Rover,Range Rover Sport,Std
2011,Land Rover,LR2,Std
2011,Land Rover,LR4,Std
2011,Land Rover,Range Rover,Std
2011,Land Rover,Range Rover Sport,Std
2012,Land Rover,LR2,Std
2012,Land Rover,LR4,Std
2012,Land Rover,Range Rover,Std
2012,Land Rover,Range Rover Evoque,Std
2012,Land Rover,Range Rover Sport,Std
2013,Land Rover,LR2,Std
2013,Land Rover,LR4,Std
2013,Land Rover,Range Rover,Std
2013,Land Rover,Range Rover Evoque,Std
2013,Land Rover,Range Rover Sport,Std
