Year,Make,Model,Anti-Theft Module Location,PATS Type,ParameterReset
1997,Lincoln,Mark VIII,Steering Column Ignition Lock Module,PATS Type D ,Parameter Reset Not Required
1998,Lincoln,Continental,Instrument Cluster,PATS Type C ,Parameter Reset Required
1998,Lincoln,Mark VIII,Steering Column Ignition Lock Module,PATS Type D ,Parameter Reset Not Required
1998,Lincoln,Navigator,Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1998,Lincoln,Town Car,Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Lincoln,Continental,Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
1999,Lincoln,Town Car,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Lincoln,Continental,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2000,Lincoln,Town Car,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Lincoln,Continental,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2001,Lincoln,Town Car,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Lincoln,Blackwood,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Lincoln,Continental,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2002,Lincoln,Town Car,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Lincoln,Aviator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Lincoln,Blackwood,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2003,Lincoln,Navigator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Lincoln,Aviator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2004,Lincoln,Navigator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Lincoln,Aviator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2005,Lincoln,Navigator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2006,Lincoln,Mark LT,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Lincoln,Navigator,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Lincoln,Zephyr,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Lincoln,LS,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Lincoln,Mark LT,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Lincoln,MKX,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Lincoln,MKZ,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Lincoln,Mark LT,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Lincoln,MKX,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Lincoln,MKZ,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2009,Lincoln,MKX,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Lincoln,MKZ,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Lincoln,Navigator,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Lincoln,Town Car,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
