Year,Make,Model,Security,ParameterReset
1989,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1990,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1991,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1992,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1993,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1994,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1994,Mazda,Protege,No Security,Parameter Reset Not Required
1995,Mazda,Millenia,No Security,Parameter Reset Not Required
1995,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1995,Mazda,Protege,No Security,Parameter Reset Not Required
1996,Mazda,Millenia,No Security,Parameter Reset Not Required
1996,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1996,Mazda,Protege,No Security,Parameter Reset Not Required
1997,Mazda,Millenia,No Security,Parameter Reset Not Required
1997,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1997,Mazda,Protege,No Security,Parameter Reset Not Required
1998,Mazda,626,M-A,Parameter Reset Not Required
1998,Mazda,Millenia,No Security,Parameter Reset Not Required
1998,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1998,Mazda,Protege,No Security,Parameter Reset Not Required
1999,Mazda,626,M-A,Parameter Reset Not Required
1999,Mazda,B-Series (3.0L & 4.0L only),PATS Type B (Stand Alone PATS Module),Parameter Reset Required
1999,Mazda,Millenia,No Security,Parameter Reset Not Required
1999,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
1999,Mazda,Protege,No Security,Parameter Reset Not Required
2000,Mazda,626,M-A,Parameter Reset Not Required
2000,Mazda,B-Series (3.0L & 4.0L only),PATS Type B (Stand Alone PATS Module),Parameter Reset Required
2000,Mazda,Millenia,No Security,Parameter Reset Not Required
2000,Mazda,MPV,M-A,Parameter Reset Not Required
2000,Mazda,MX-5 (Miata),No Security,Parameter Reset Not Required
2000,Mazda,Protege,No Security,Parameter Reset Not Required
2001,Mazda,626,M-A,Parameter Reset Not Required
2001,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type NA (No PATS),Parameter Reset Not Required
2001,Mazda,Millenia,No Security,Parameter Reset Not Required
2001,Mazda,MPV,M-A,Parameter Reset Not Required
2001,Mazda,MX-5 (Miata),M-A,Parameter Reset Not Required
2001,Mazda,Protege,No Security,Parameter Reset Not Required
2001,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2002,Mazda,626,M-A,Parameter Reset Not Required
2002,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type C (Powertrain Control Module),Parameter Reset Not Required
2002,Mazda,Millenia,No Security,Parameter Reset Not Required
2002,Mazda,MPV,M-A,Parameter Reset Not Required
2002,Mazda,MX-5 (Miata),M-A,Parameter Reset Not Required
2002,Mazda,Protege,No Security,Parameter Reset Not Required
2002,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2003,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2003,Mazda,Mazda6,M-B,Parameter Reset Not Required
2003,Mazda,MPV,M-A,Parameter Reset Not Required
2003,Mazda,MX-5 (Miata),M-A,Parameter Reset Not Required
2003,Mazda,Protege,No Security,Parameter Reset Not Required
2003,Mazda,Tribute,PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2004,Mazda,"B-Series (2.3L, 3.0L, & 4.0L)",PATS Type E (Powertrain Control Module),Parameter Reset Not Required
2004,Mazda,Mazda3,M-C,Parameter Reset Required
2004,Mazda,Mazda6,M-B,Parameter Reset Not Required
