Year,Make,Model,Security,Mini Security System Additional Information
2002,Mini,Cooper,Std,EWS III
2003,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2004,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2005,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2006,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2007,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2008,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2009,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2010,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2011,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2012,Mini,Clubman,Std,EWS III
2012,Mini,Clubman,Std,EWS III
2012,Mini,Cooper (s) Hardtop & Cabrio,Std,EWS III
2012,Mini,Countryman,Std,EWS III
2012,Mini,Coupe,Std,EWS III
2012,Mini,John Cooper Works,Std,EWS III
2013,Mini,Clubman,Std,Information not available
2013,Mini,Clubman,Std,Information not available
2013,Mini,Cooper (s) Hardtop & Cabrio,Std,Information not available
2013,Mini,Countryman,Std,Information not available
2013,Mini,Coupe,Std,Information not available
2013,Mini,John Cooper Works,Std,Information not available
