Year,Make,Model,Security
2000,Mitsubishi,Mirage,Information not available
2000,Mitsubishi,Montero,Information not available
2000,Mitsubishi,Diamante,Std
2000,Mitsubishi,Eclipse,Std
2000,Mitsubishi,Spyder,Std
2000,Mitsubishi,Galant,Std
2000,Mitsubishi,Montero Sport,Std
2001,Mitsubishi,Mirage,Information not available
2001,Mitsubishi,Diamante,Std
2001,Mitsubishi,Eclipse,Std
2001,Mitsubishi,Spyder,Std
2001,Mitsubishi,Galant,Std
2001,Mitsubishi,Montero,Std
2001,Mitsubishi,Montero Sport,Std
2002,Mitsubishi,Lancer Sedan,Information not available
2002,Mitsubishi,Mirage,Information not available
2002,Mitsubishi,Diamante,Std
2002,Mitsubishi,Eclipse,Std
2002,Mitsubishi,Spyder,Std
2002,Mitsubishi,Galant,Std
2002,Mitsubishi,Montero,Std
2002,Mitsubishi,Montero Sport,Std
2003,Mitsubishi,Lancer Sedan,Information not available
2003,Mitsubishi,Mirage,Information not available
2003,Mitsubishi,Outlander,Information not available
2003,Mitsubishi,Diamante,Std
2003,Mitsubishi,Eclipse,Std
2003,Mitsubishi,Spyder,Std
2003,Mitsubishi,Galant,Std
2003,Mitsubishi,Lancer EVO,Std
2003,Mitsubishi,Montero,Std
2003,Mitsubishi,Montero Sport,Std
2004,Mitsubishi,Lancer Sedan,Information not available
2004,Mitsubishi,Lancer Sportback Wgn,Information not available
2004,Mitsubishi,Diamante,Std
2004,Mitsubishi,Eclipse,Std
2004,Mitsubishi,Spyder,Std
2004,Mitsubishi,Endeavor,Std
2004,Mitsubishi,Galant,Std
2004,Mitsubishi,Lancer EVO,Std
2004,Mitsubishi,Montero,Std
2004,Mitsubishi,Montero Sport,Std
2004,Mitsubishi,Outlander,Std
2005,Mitsubishi,Lancer Sedan,Information not available
2005,Mitsubishi,Eclipse,Std
2005,Mitsubishi,Spyder,Std
2005,Mitsubishi,Endeavor,Std
2005,Mitsubishi,Galant,Std
2005,Mitsubishi,Lancer EVO,Std
2005,Mitsubishi,Montero,Std
2005,Mitsubishi,Outlander,Std
2006,Mitsubishi,Lancer Sedan,Information not available
2006,Mitsubishi,Raider,Opt
2006,Mitsubishi,Eclipse,Std
2006,Mitsubishi,Spyder,Std
2006,Mitsubishi,Endeavor,Std
2006,Mitsubishi,Galant,Std
2006,Mitsubishi,Lancer EVO,Std
2006,Mitsubishi,Outlander,Std
2007,Mitsubishi,Lancer Sedan,Information not available
2007,Mitsubishi,Raider,Information not available
2007,Mitsubishi,Eclipse,Std
2007,Mitsubishi,Spyder,Std
2007,Mitsubishi,Endeavor,Std
2007,Mitsubishi,Galant,Std
2007,Mitsubishi,Lancer EVO,Std
2007,Mitsubishi,Outlander,Std
2008,Mitsubishi,Raider,Information not available
2008,Mitsubishi,Eclipse,Std
2008,Mitsubishi,Spyder,Std
2008,Mitsubishi,Endeavor,Std
2008,Mitsubishi,Galant,Std
2008,Mitsubishi,Lancer EVO,Std
2008,Mitsubishi,Lancer Sedan,Std
2008,Mitsubishi,Outlander,Std
2009,Mitsubishi,Raider,Information not available
2009,Mitsubishi,Eclipse,Std
2009,Mitsubishi,Spyder,Std
2009,Mitsubishi,Endeavor,Std
2009,Mitsubishi,Galant,Std
2009,Mitsubishi,Lancer EVO,Std
2009,Mitsubishi,Lancer Sedan,Std
2009,Mitsubishi,Outlander,Std
2010,Mitsubishi,Eclipse,Std
2010,Mitsubishi,Spyder,Std
2010,Mitsubishi,Endeavor,Std
2010,Mitsubishi,Galant,Std
2010,Mitsubishi,Lancer EVO,Std
2010,Mitsubishi,Lancer Sedan,Std
2010,Mitsubishi,Lancer Sportback Wgn,Std
2010,Mitsubishi,Outlander,Std
2011,Mitsubishi,Eclipse,Std
2011,Mitsubishi,Spyder,Std
2011,Mitsubishi,Endeavor,Std
2011,Mitsubishi,Galant,Std
2011,Mitsubishi,Lancer EVO,Std
2011,Mitsubishi,Lancer Sedan,Std
2011,Mitsubishi,Lancer Sportback Wgn,Std
2011,Mitsubishi,Outlander,Std
2011,Mitsubishi,Outlander Sport,Std
2012,Mitsubishi,Eclipse,Std
2012,Mitsubishi,Spyder,Std
2012,Mitsubishi,Endeavor,Std
2012,Mitsubishi,Galant,Std
2012,Mitsubishi,iMIEV,Std
2012,Mitsubishi,Lancer EVO,Std
2012,Mitsubishi,Lancer Sedan,Std
2012,Mitsubishi,Lancer Sportback Wgn,Std
2012,Mitsubishi,Outlander,Std
2012,Mitsubishi,Outlander Sport,Std
2013,Mitsubishi,iMIEV,Std
2013,Mitsubishi,Lancer EVO,Std
2013,Mitsubishi,Lancer Sedan,Std
2013,Mitsubishi,Lancer Sportback Wgn,Std
2013,Mitsubishi,Outlander,Std
2013,Mitsubishi,Outlander Sport,Std
