Year,Make,Model,Security
1997,Nissan,Altima,Information not avaiable
1997,Nissan,Maxima,Information not avaiable
1997,Nissan,Pathfinder,Information not avaiable
1997,Nissan,Quest,Information not avaiable
1997,Nissan,Sentra,Information not avaiable
1998,Nissan,Altima,Information not avaiable
1998,Nissan,Frontier,Information not avaiable
1998,Nissan,Maxima,Information not avaiable
1998,Nissan,Pathfinder,Information not avaiable
1998,Nissan,Quest,Information not avaiable
1998,Nissan,Sentra,Information not avaiable
1999,Nissan,Altima,Information not avaiable
1999,Nissan,Frontier,Information not avaiable
1999,Nissan,Quest,Information not avaiable
1999,Nissan,Sentra,Information not avaiable
1999,Nissan,Maxima,Std
1999,Nissan,Pathfinder,Std**
2000,Nissan,Frontier,Information not avaiable
2000,Nissan,Quest,Information not avaiable
2000,Nissan,Xterra,Information not avaiable
2000,Nissan,Altima,Std
2000,Nissan,Maxima,Std
2000,Nissan,Pathfinder,Std
2000,Nissan,Sentra,"Std on CA, Opt SE & GXE"
2001,Nissan,Frontier,Information not avaiable
2001,Nissan,Quest,Information not avaiable
2001,Nissan,Xterra,Information not avaiable
2001,Nissan,Altima,Std
2001,Nissan,Maxima,Std
2001,Nissan,Pathfinder,Std
2001,Nissan,Sentra,"Std on CA, Opt SE & GXE"
2002,Nissan,Frontier,Information not avaiable
2002,Nissan,Quest,Information not avaiable
2002,Nissan,Xterra,Information not avaiable
2002,Nissan,Altima,Std
2002,Nissan,Maxima,Std
2002,Nissan,Pathfinder,Std
2002,Nissan,Sentra,"Std on CA, Opt on SE-R"
2003,Nissan,Frontier,Information not avaiable
2003,Nissan,Xterra,Information not avaiable
2003,Nissan,350Z,Std
2003,Nissan,Altima,Std
2003,Nissan,Maxima,Std
2003,Nissan,Murano,Std
2003,Nissan,Pathfinder,Std
2003,Nissan,Sentra,"Std on 2.5 Limited Edition., Opt on SE-R"
2004,Nissan,Frontier,Information not avaiable
2004,Nissan,Xterra,Information not avaiable
2004,Nissan,350Z,Std
2004,Nissan,Altima,Std
2004,Nissan,Maxima,Std
2004,Nissan,Murano,Std
2004,Nissan,Pathfinder,Std
2004,Nissan,Armada,Std
2004,Nissan,Quest,Std
2004,Nissan,Sentra,"Std on 2.5S, Opt on SE-R"
2004,Nissan,Titan,"Std on all SE & LE. Std on XE crew cab 4x4, ""Opt on XE crew cab 4x2."""
2005,Nissan,Sentra,Information not avaiable
2005,Nissan,350Z,Std
2005,Nissan,Altima,Std
2005,Nissan,Maxima,Std
2005,Nissan,Murano,Std
2005,Nissan,Pathfinder,Std
2005,Nissan,Armada,Std
2005,Nissan,Quest,Std
2005,Nissan,Frontier,"Std on Crew Cab model, N/A on King Cab XE trim, Opt on all other King Cab trim"
2005,Nissan,Titan,"Std on Crew Cab model,""N/A on King Cab XE trim"", Std on all other King Cab Trim"
2005,Nissan,Xterra,"Std on OR & SE trim, Opt on S trim"
2006,Nissan,Frontier,"KING CAB: N/A on XE & SE, Std on NISMO & LE CREW CAB: Std on SE, LE & NISMO"
2006,Nissan,Titan,"KING CAB: Std on SE & LE, N/A on XE CREW CAB: Std on SE & LE, Opt on XE"
2006,Nissan,Sentra,Information not avaiable
