,Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
18,1990,Oldsmobile,Toronado,PK1,Information not available,No
29,1991,Oldsmobile,Ninety-Eight,PK1,Information not available,No
30,1991,Oldsmobile,Toronado,PK1,Information not available,No
43,1992,Oldsmobile,Toronado,PK1,Information not available,No
44,1992,Oldsmobile,Eighty-Eight,PK2,Information not available,No
45,1992,Oldsmobile,Ninety-Eight,PK2,Information not available,No
58,1993,Oldsmobile,Toronado,PK1,Information not available,No
59,1993,Oldsmobile,Eighty-Eight,PK2,Information not available,No
60,1993,Oldsmobile,Ninety-Eight,PK2,Information not available,No
74,1994,Oldsmobile,Cutlass Supreme,PK2,U30C,No
75,1994,Oldsmobile,Eighty-Eight,PK2,Information not available,No
76,1994,Oldsmobile,Ninety-Eight,PK2,Information not available,No
95,1995,Oldsmobile,Cutlass Supreme,PK2,U30C,No
96,1995,Oldsmobile,Aurora,PK2,Information not available,No
97,1995,Oldsmobile,Eighty-Eight,PK2,Information not available,No
98,1995,Oldsmobile,Ninety-Eight,PK2,Information not available,No
119,1996,Oldsmobile,Cutlass Supreme,PK2,U42C-800,No
120,1996,Oldsmobile,Aurora,PK2,U42C-484,No
121,1996,Oldsmobile,Eighty-Eight,PK2,Information not available,No
122,1996,Oldsmobile,Ninety-Eight,PK2,Information not available,No
123,1996,Oldsmobile,Achieva,PL1,U42C-800,No
137,1998,Oldsmobile,Bravada,PL2,U41,No
138,1998,Oldsmobile,Intrigue,PL2,U44C-482,No
149,1999,Oldsmobile,Silhouette,PK3,U44C-482,No
150,1999,Oldsmobile,Alero,PL2,U44C-482,No
151,1999,Oldsmobile,Bravada,PL2,U41,No
152,1999,Oldsmobile,Intrigue,PL2,U44C-482,No
165,2000,Oldsmobile,Silhouette,PK3,U44C-482,No
166,2000,Oldsmobile,Alero,PL2,U44C-482,No
167,2000,Oldsmobile,Bravada,PL2,U41,No
168,2000,Oldsmobile,Intrigue,PL2,U44C-482,No
183,2001,Oldsmobile,Silhouette,PK3,U44C-482,No
184,2001,Oldsmobile,Alero,PL2,U44C-482,No
185,2001,Oldsmobile,Bravada,PL2,U44R,No
186,2001,Oldsmobile,Intrigue,PL2,U44C-482,No
207,2002,Oldsmobile,Silhouette,PK3,U44C-482,No
208,2002,Oldsmobile,Alero,PL2,U44C-482,No
209,2002,Oldsmobile,Bravada,PL2,P10,No
210,2002,Oldsmobile,Intrigue,PL2,U44C-482,No
236,2003,Oldsmobile,Silhouette,PK3,U44C-482,No
237,2003,Oldsmobile,Alero,PL2,U44C-482,No
238,2003,Oldsmobile,Bravada,PL2,P10,No
272,2004,Oldsmobile,Silhouette,PK3,U44C-721,No
273,2004,Oldsmobile,Alero,PL2,U44C-721,No
274,2004,Oldsmobile,Bravada,PL2,P10,No
