,Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
3,1988,Pontiac,Firebird,GTA only,Information not available,No
9,1989,Pontiac,Firebird,PK1,Information not available,No
19,1990,Pontiac,Firebird,PK1,Information not available,No
31,1991,Pontiac,Firebird,PK1,Information not available,No
46,1992,Pontiac,Firebird,PK1,Information not available,No
47,1992,Pontiac,Bonneville,PK2,Information not available,No
61,1993,Pontiac,Bonneville,PK2,Information not available,No
62,1993,Pontiac,Firebird,PK2,Information not available,No
77,1994,Pontiac,Bonneville,PK2,Information not available,No
78,1994,Pontiac,Firebird,PK2,U30C,No
79,1994,Pontiac,Grand Am,PK2,U30C,No
99,1995,Pontiac,Bonneville,PK2,Information not available,No
100,1995,Pontiac,Firebird,PK2,U30C,No
101,1995,Pontiac,Grand Am,PK2,U30C,No
102,1995,Pontiac,Sunfire,PL1,Information not available,No
124,1996,Pontiac,Bonneville,PK2,U42C-800,No
125,1996,Pontiac,Firebird,PK2,U42C-800,No
126,1996,Pontiac,Grand Am,PK2,U42C-800,No
127,1996,Pontiac,Sunfire,PL1,U30B,No
153,1999,Pontiac,Montana,PK3,U44C-482,No
169,2000,Pontiac,Montana,PK3,U44C-482,No
187,2001,Pontiac,Aztek,PK3,U44C-482,No
188,2001,Pontiac,Montana,PK3,U44C-482,No
211,2002,Pontiac,Aztek,PK3,U44C-482,No
212,2002,Pontiac,Montana,PK3,U44C-482,No
239,2003,Pontiac,Vibe,Information not available,Information not available,No
240,2003,Pontiac,Aztek,PK3,U44C-482,No
241,2003,Pontiac,Montana,PK3,U44C-482,No
275,2004,Pontiac,GTO,Holden,U44G-G45,No
276,2004,Pontiac,Vibe,Information not available,Information not available,No
277,2004,Pontiac,Aztek,PK3,U44C-721,No
278,2004,Pontiac,Montana,PK3,U44C-721,No
316,2005,Pontiac,GTO,Holden,E40-883,No
317,2005,Pontiac,Vibe,Information not available,Information not available,No
318,2005,Pontiac,Montana,PK3,U32-XC2,No
319,2005,Pontiac,Montana SV6,PK3,U32-XC2,No
320,2005,Pontiac,G6,PK3,U32-XJ5,No
360,2006,Pontiac,GTO,Holden,E40-679,No
361,2006,Pontiac,Vibe,Information not available,Information not available,No
362,2006,Pontiac,Montana,PK3,U32-XC2,No
363,2006,Pontiac,Montana SV6,PK3,U32-XC2,No
364,2006,Pontiac,G6,PK3,E67-TP1,No
365,2006,Pontiac,Solstice,PK3,E67-TP1,No
406,2007,Pontiac,Vibe,Information not available,Information not available,No
407,2007,Pontiac,Grand Am,PK3,Information not available,No
408,2007,Pontiac,Montana,PK3,E67-TP1,No
409,2007,Pontiac,Montana SV6,PK3,E67-TP1,No
410,2007,Pontiac,G5,PK3,E67-TP1,No
411,2007,Pontiac,G6,PK3,E67-TP1,No
412,2007,Pontiac,Solstice,PK3,E67-TP1,No
413,2007,Pontiac,Torrent,PK3,E38-Y2Y,Yes
455,2008,Pontiac,Grand Am,PK3,Information not available,No
456,2008,Pontiac,Montana,PK3,Information not available,No
457,2008,Pontiac,Montana SV6,PK3,Information not available,No
458,2008,Pontiac,G5,PK3,Information not available,No
459,2008,Pontiac,G6,PK3,E38-Y2Y,Yes
460,2008,Pontiac,G8,PK3,E77-420,Yes
461,2008,Pontiac,Solstice,PK3,E69-326,Yes
462,2008,Pontiac,Torrent,PK3,E77-420,Yes
463,2008,Pontiac,Vibe,Toyota Immobilizer,Information not available,No
506,2009,Pontiac,G3,Opt,E83,Yes
507,2009,Pontiac,Montana,PK3,Information not available,No
508,2009,Pontiac,Montana SV6,PK3,Information not available,No
509,2009,Pontiac,G5,PK3,Information not available,No
510,2009,Pontiac,G6,PK3,E67-TP1,No
511,2009,Pontiac,G8,PK3,E77-420,Yes
512,2009,Pontiac,Solstice,PK3,Information not available,No
513,2009,Pontiac,Torrent,PK3,E38-Y2Y,Yes
514,2009,Pontiac,Vibe,Toyota Immobilizer,Information not available,No
554,2010,Pontiac,G3,Opt,Information not available,No
555,2010,Pontiac,G6,PK3,Information not available,No
556,2010,Pontiac,G8,PK3,Information not available,No
557,2010,Pontiac,Solstice,PK3,Information not available,No
