,Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
170,2000,Saturn,L Series,PL2,E56-242,No
171,2000,Saturn,S Series,PL2,U29A,No
189,2001,Saturn,L Series,PL2,E56-242,No
190,2001,Saturn,S Series,PL2,U29A,No
213,2002,Saturn,L Series,PL2,P11,No
214,2002,Saturn,S Series,PL2,U29A,No
215,2002,Saturn,Vue,PL2,U22-143,No
242,2003,Saturn,L Series,PL2,P11,No
243,2003,Saturn,Vue,PL2,U22-143,No
244,2003,Saturn,ION,PL3,U22-TN7,No
279,2004,Saturn,L Series,PL2,Information not available,No
280,2004,Saturn,Vue,PL2,U22-143,No
281,2004,Saturn,ION,PL3,U22-TN7,No
321,2005,Saturn,Relay,PK3,U32-XC2,No
322,2005,Saturn,L Series,PL2,Information not available,No
323,2005,Saturn,Vue,PL2,U22-143,No
324,2005,Saturn,ION,PL3,E16A-26S,No
366,2006,Saturn,Relay,PK3,U32-XC2,No
367,2006,Saturn,Vue,PL2,U26-698,No
368,2006,Saturn,ION,PL3,E16A-26S,No
414,2007,Saturn,Relay,PK3,E67-TP1,No
415,2007,Saturn,Aura,PK3,E38-Y2Y,Yes
416,2007,Saturn,Outlook,PK3,E67-TP1,No
417,2007,Saturn,Sky,PK3,E69-438,Yes
418,2007,Saturn,Vue,PL2,U22-143,No
419,2007,Saturn,ION,PL3,E67-TP1,No
464,2008,Saturn,Astra,Opel,U62-C20,No
465,2008,Saturn,Aura,PK3,E38-Y2Y,Yes
466,2008,Saturn,Outlook,PK3,E67-TP1,No
467,2008,Saturn,Sky,PK3,E69-326,Yes
468,2008,Saturn,Vue,PK3,E67-TP1,No
515,2009,Saturn,Astra,Opel,U62-C20,No
516,2009,Saturn,Aura,PK3,E67-TP1,No
517,2009,Saturn,Outlook,PK3,E69-216,Yes
518,2009,Saturn,Sky,PK3,Information not available,No
519,2009,Saturn,Vue,PK3,E67-TP1,No
558,2010,Saturn,Aura,PK3,Information not available,No
559,2010,Saturn,Outlook,PK3,Information not available,No
560,2010,Saturn,Sky,PK3,Information not available,No
561,2010,Saturn,Vue,PK3,Information not available,No
