Year,Make,Model,Security
2004,Scion,xA,Information not available
2004,Scion,xB,Information not available
2004,Scion,tC,Std
2005,Scion,xA,Information not available
2005,Scion,xB,Information not available
2005,Scion,tC,Std
2006,Scion,xA,Information not available
2006,Scion,xB,Information not available
2006,Scion,tC,Std
2007,Scion,xA,Information not available
2007,Scion,xB,Information not available
2007,Scion,tC,Std
2008,Scion,xB,Information not available
2008,Scion,xD,Information not available
2008,Scion,tC,Std
2009,Scion,xB,Information not available
2009,Scion,xD,Information not available
2009,Scion,tC,Std
2010,Scion,xB,Information not available
2010,Scion,xD,Information not available
2010,Scion,tC,Std
2011,Scion,xB,Information not available
2011,Scion,xD,Information not available
2011,Scion,tC,Smart Key Std
2012,Scion,xB,Opt
2012,Scion,xD,Opt
2012,Scion,IQ,Std Smart Opt
2012,Scion,tC,Std Smart
2013,Scion,xB,Opt
2013,Scion,xD,Opt
2013,Scion,IQ EV,Smart
2013,Scion,IQ,Std
2013,Scion,FR-S,Std Smart Opt
2013,Scion,tC,Std Smart
