Year,Make,Model,Security,ParameterReset
1996,Toyota,4 Runner,,
1996,Toyota,Avalon,,
1996,Toyota,Camry,,
1996,Toyota,Celica,,
1996,Toyota,Corolla,,
1996,Toyota,Landcruiser,,
1996,Toyota,RAV 4,,
1996,Toyota,Tacoma,,
1997,Toyota,4 Runner,,
1997,Toyota,Avalon,,
1997,Toyota,Camry,,
1997,Toyota,Celica,,
1997,Toyota,Corolla,,
1997,Toyota,Landcruiser,,
1997,Toyota,RAV 4,,
1997,Toyota,Tacoma,,
1998,Toyota,4 Runner,,
1998,Toyota,Celica,,
1998,Toyota,Corolla,,
1998,Toyota,RAV 4,,
1998,Toyota,Sienna,,
1998,Toyota,Tacoma,,
1998,Toyota,Landcruiser,Std,
1998,Toyota,Camry,"Std XLE, Opt LE",
1998,Toyota,Avalon,"Std XLS, Opt XL",
1999,Toyota,Celica,,
1999,Toyota,Corolla,,
1999,Toyota,RAV 4,,
1999,Toyota,Sienna,,
1999,Toyota,Tacoma,,
1999,Toyota,Landcruiser,Std,
1999,Toyota,4 Runner,"Std LTD, Opt SR5",
1999,Toyota,Solara,"Std SLE, Opt SE",
1999,Toyota,Camry,"Std XLE, Opt LE",
1999,Toyota,Avalon,Std XLS,
2000,Toyota,Celica,,
2000,Toyota,Corolla,,
2000,Toyota,Echo,,
2000,Toyota,RAV 4,,
2000,Toyota,Tacoma,,
2000,Toyota,Tundra,,
2000,Toyota,Landcruiser,Std,
2000,Toyota,MR2 Spyder,Std,
2000,Toyota,4 Runner,"Std LTD, Opt SR5",
2000,Toyota,Solara,Std SLE Std SE V6,
2000,Toyota,Camry,Std XLE,
2000,Toyota,Sienna,"Std XLE, Opt LE",
2000,Toyota,Avalon,Std XLS,
2001,Toyota,Celica,,
2001,Toyota,Corolla,,
2001,Toyota,Echo,,
2001,Toyota,Tacoma,,
2001,Toyota,Tundra,,
2001,Toyota,RAV 4,Opt,
2001,Toyota,Landcruiser,Std,
2001,Toyota,MR2 Spyder,Std,
2001,Toyota,Prius,Std,
2001,Toyota,Sequoia,Std,
2001,Toyota,4 Runner,Std LTD,
2001,Toyota,Highlander,"Std LTD pkg, Opt base",
2001,Toyota,Solara,Std SLE Std SE V6,
2001,Toyota,Camry,Std XLE,
2001,Toyota,Sienna,Std XLE,
2001,Toyota,Avalon,Std XLS,
2002,Toyota,Celica,,
2002,Toyota,Corolla,,
2002,Toyota,Echo,,
2002,Toyota,Tacoma,,
2002,Toyota,Tundra,,
2002,Toyota,RAV 4,Opt,
2002,Toyota,Landcruiser,Std,
2002,Toyota,MR2 Spyder,Std,
2002,Toyota,Prius,Std,
2002,Toyota,Sequoia,Std,
2002,Toyota,4 Runner,Std LTD,
2002,Toyota,Highlander,"Std LTD pkg, Opt base",
2002,Toyota,Solara,Std SLE Std SE V6,
2002,Toyota,Sienna,Std XLE,
2002,Toyota,Camry,Std XLE Std LE V6,
2002,Toyota,Avalon,Std XLS,
2003,Toyota,Celica,,
2003,Toyota,Corolla,,
2003,Toyota,Echo,,
2003,Toyota,Matrix,,
2003,Toyota,Tacoma,,
2003,Toyota,Tundra,,
2003,Toyota,RAV 4,Opt,
2003,Toyota,4 Runner,Std,
2003,Toyota,Landcruiser,Std,
2003,Toyota,MR2 Spyder,Std,
2003,Toyota,Prius,Std,
2003,Toyota,Sequoia,Std,
2003,Toyota,Highlander,"Std LTD pkg, Opt base",
2003,Toyota,Solara,Std SLE Std SE V6,
2003,Toyota,Sienna,Std XLE,
2003,Toyota,Camry,Std XLE Std LE V6,
2003,Toyota,Avalon,Std XLS,
2004,Toyota,Celica,,
2004,Toyota,Corolla,,
2004,Toyota,Echo,,
2004,Toyota,Matrix,,
2004,Toyota,Tacoma,,
2004,Toyota,Tundra,,
2004,Toyota,RAV 4,Opt,
2004,Toyota,4 Runner,Std,
2004,Toyota,Landcruiser,Std,
2004,Toyota,MR2 Spyder,Std,
2004,Toyota,Prius,Std,
2004,Toyota,Sequoia,Std,
2004,Toyota,Solara,Std,
2004,Toyota,Sienna,Std LE/ XLE/ XLE Limited,
2004,Toyota,Highlander,"Std Ltd, Opt Base",
2004,Toyota,Camry,Std XLE Std LE/SE V6,
2004,Toyota,Avalon,Std XLS,
2005,Toyota,Celica,,
